title,price,currency,total sold,url
Apple iPhone 7 - 32GB -iOS Black  4G LTE  (T-mobile Metropcs) Grade B,$165.00,US,,https://www.ebay.com/itm/Apple-iPhone-7-32GB-iOS-Black-4G-LTE-T-mobile-Metropcs-Grade-B/254357275270?hash=item3b38e00286:g:TzYAAOSwVbhcs1zZ
Apple iPhone X - 256GB - Space Gray (Unlocked) A1865 (CDMA + GSM GREAT CONDITION,$265.00,US,,https://www.ebay.com/itm/Apple-iPhone-X-256GB-Space-Gray-Unlocked-A1865-CDMA-GSM-GREAT-CONDITION/163859766332?epid=240420150&hash=item2626cd9c3c:g:nYUAAOSwtHVdertv
16gb iPhone 6plus gold  unlocked very good condition,$200.00,AU,,https://www.ebay.com/itm/16gb-iPhone-6plus-gold-unlocked-very-good-condition/303277388908?hash=item469cbdb46c:g:xa4AAOSw6OFdRNe2
Apple iPhone 7 - 128GB - Rose Gold GSM (Unlocked) - 9/10 Condition,$224.99,US,,https://www.ebay.com/itm/Apple-iPhone-7-128GB-Rose-Gold-GSM-Unlocked-9-10-Condition/113885939373?epid=240531128&hash=item1a842186ad:g:cDkAAOSwe41deogG
Apple iPhone SE [16GB 32GB 64GB 128GB] A1723 4G Smartphone Unlocked AU Stock,$155.00,AU,,https://www.ebay.com/itm/Apple-iPhone-SE-16GB-32GB-64GB-128GB-A1723-4G-Smartphone-Unlocked-AU-Stock/172864605769?_trkparms=ispr%3D1&hash=item283f888e49:m:modVc47sDW0wO0l4q-R9Zeg&enc=AQAEAAAB0BPxNw%2BVj6nta7CKEs3N0qV5xUxNQojGmahutJwAKtPIOo8TJXV%2BJBxViXeKgRa6VmTHz8cfkrSaRNTjKT5X3hkO2SiOVxTRh77UY1wInmPVIL6CEJdbQhrz%2F1faNvr3PZJkHwPR0KRzvGk7wcrIipz6oCw%2Fer1M0%2FBJq77rvSBnDGHvPS8cWmQa8ZriZ8yg8gdGKpsB95J1uGHlkwArxVkqQWkVK1IM0AxhS4MPZkWG50Pi32qLttQMq6eECAa213qKgpRXAvlyx73F64todkWvKr7nMarmfDkYzKYbeZyNmGGWua9jXidi2QOPZ%2BWdRIrH%2Bc5sx3uh92Pp7te%2B45vN2RjxtmmLNAY%2FhvrRl4FsGRTiF9OihqV7mtPnkksKTqBX2NSgsUMvSOpvyZ%2FF3JpThXu14hsD9DSyjFkrVQXzzzkdH1UghbaU2D1V0iLy77LrHKOe2ecI8TET19x%2BQHqqU2X0u5JxniJCDpOWeAqSBDwAQ9VPxeKUa%2FMxU380zKhulvZAphn7BugnOm%2B8PJibKIaU2kSMEhLMfiZJqKXiXH5aUc%2BlcJEIvOF2V%2BYmfHUVH%2FkQPZxO6qLSCuN8oodJ4xWSiu4a%2FzBmqRv%2FE8dV&checksum=172864605769e69ca385638d429cb9c987e7ca69b382
Iphone 7 plus 128 gb,$310.00,US,,https://www.ebay.com/itm/Iphone-7-plus-128-gb/202777318925?epid=225209469&_trkparms=ispr%3D1&hash=item2f3678560d:g:0L4AAOSwok1dM~KI&enc=AQAEAAAB0BPxNw%2BVj6nta7CKEs3N0qUv4O5%2Bgfq1e5Qu7QtdFHPjmL6h4dRb6%2Fau1jimurneO%2F2onvqZTMiDXRj%2FU9BImDEKaDAPVcq7%2BAwKTfZo%2BTzKIryqsUs2yZH2uGyGjmeyfjvhsE3qdtZJ0uMWPniQ%2F8PzSAxxXYVtU29WNv6ytaqLzbKdOJbDkpooko9n7yXWK5ICbItuZ%2FyBbzva281hKh%2BQY%2FuTrxo2a5rrHxwjGrZWvHrALRZN9xAI8yaRjBTkp%2BbI%2BSFAfJeEkcJgmE2ViY2TIv76zglGci1WSf6fDejmfRyk%2BD4BcYPu0Rw8lu3fKOPUVKBvtGa9LKpif%2BjXfLMj5m3RSCkA2hhfRiDV7FvWkKdBL7exYGB9RuxpCuiiogH75qUIodSQ5XgHBGk7WO7MqKeJ3leGUP4lteAsmRRwNqCd1iCt1YukhL0pKJc7Ww6eQF4xzFh2eimX0Rtb%2F%2FWJlkwXV1jFsmUXxGAmFYIJhnQ8Gk8kQC7OoZpoP43ioOkvP3CJ5j0LI1OA0js2WxYGXyGVHE6uOkC87fNf5Z%2BXPv1%2BkyukNNl2AaCjSb2JAybKZXVhZ%2Beg%2BGbNbd0nXWuQhiVrlRnXJpVsBGDPM1ih&checksum=202777318925e69ca385638d429cb9c987e7ca69b382
Apple iPhone XR 64GB Black - Unlocked US Reseller Flex Policy - NEW & SEALED,$569.99,US,,https://www.ebay.com/itm/Apple-iPhone-XR-64GB-Black-Unlocked-US-Reseller-Flex-Policy-NEW-SEALED/274006068612?epid=13023706562&hash=item3fcc08cd84:g:g3cAAOSw4ztdeqef
Apple iPhone 7 Plus 32GB (Unlocked),$399.00,US,,https://www.ebay.com/itm/Apple-iPhone-7-Plus-32GB-Unlocked/283612788226?epid=240455209&hash=item4208a3b602:g:H6kAAOSwbYddetGG
Apple iPhone 6s Plus - 128GB - Space Gray (Unlocked) A1687 (CDMA + GSM),$160.00,US,,https://www.ebay.com/itm/Apple-iPhone-6s-Plus-128GB-Space-Gray-Unlocked-A1687-CDMA-GSM/193098847714?epid=240434054&hash=item2cf59695e2:g:5wIAAOSwpopdetOS
Apple iPhone 8 64GB Space Gray Sprint GSM A1863,$340.00,US,,https://www.ebay.com/itm/Apple-iPhone-8-64GB-Space-Gray-Sprint-GSM-A1863/193095106192?epid=239009382&hash=item2cf55d7e90:g:9~IAAOSwUKVdd9vb
Apple iPhone XS A1920 64GB Gold! 9/10! GSM Unlocked!,$699.75,US,,https://www.ebay.com/itm/Apple-iPhone-XS-A1920-64GB-Gold-9-10-GSM-Unlocked/254357892032?epid=4023704064&hash=item3b38e96bc0:g:dgsAAOSwhPZdepir
iPhone 7 Plus 128GB - Black - Unlocked - Mint Condition - All Orig. Accessories,$311.00,US,,https://www.ebay.com/itm/iPhone-7-Plus-128GB-Black-Unlocked-Mint-Condition-All-Orig-Accessories/174028709453?epid=240458775&hash=item2884eb5e4d:g:zUQAAOSwvFxdenHU
Apple iPhone 6s - 16GB - Black (Sprint) A1688,$109.99,US,,https://www.ebay.com/itm/Apple-iPhone-6s-16GB-Black-Sprint-A1688/283612794486?hash=item4208a3ce76:g:H70AAOSwqYZdetR6
Apple iPhone XR 64/128/256 GB Unlocked -comes with Apple Warranty,$649.99,US,,https://www.ebay.com/itm/Apple-iPhone-XR-64-128-256-GB-Unlocked-comes-with-Apple-Warranty/323913706503?epid=24023698450&_trkparms=ispr%3D1&hash=item4b6ac2ec07:m:mVcrH993ufNKko8Vyz6OFBg&enc=AQAEAAAB0BPxNw%2BVj6nta7CKEs3N0qWjIyqfhykwOKo0H1ZrBE8xSXqdZdgRgFsHxhuj3p7MO3qdijySvwi8BN2ULmegTxJV7iguQlmGjvmE%2B5wQkbuBQy7GWcjfUyvCZlky4J2jUGtZfv11hUo1EP%2B2vExrnt9juCZAjvxz6bGYrg7X9PLyZYIBjtpwiGWuNFzhTfxl5My3%2BDcNK1xdC%2BLTfPSVWySzNeLJQT66LLdK11VQBmKBE2lDQ3jw0sRhq7E%2F2jBt3ODLFewLWQnFsn9DbAS5eLFEqk1ZKJ9CBkwDqSpt8H9Pwz3FNLnKLWIgVWIsP5swuK9UtnyvikGfZner7p3lfKWS9l%2BE9Tl17BbYNNByUbRw0lz4%2FT4MOomETFG66ks0zC43HjJ%2B0yiNeQbvrUbJRDRZP2Kr0ChaqDBzgFYxRYTvZIG8UbQIY93CzrmBbkKqndguBTY4FdYS3diE%2FepK6Tn3yFcn97pW7WvlsIHnzwRatOoximhIYXWEdQWElGkqzHOvM8%2B3uXwg9XJhn0l1w3a2o4RFvsOaGI8maOcImXf2ubtrm0p8MGEyBi0kE0xSaZRNBMoDGH3JOKSrF7YIk3L0oMRjfK2f7RFR7egtJNEp&checksum=323913706503e69ca385638d429cb9c987e7ca69b382
T-MOBILE MINT Apple iPhone 8 Plus - 64GB - Black A1897 (CDMA + GSM),$450.00,US,,https://www.ebay.com/itm/T-MOBILE-MINT-Apple-iPhone-8-Plus-64GB-Black-A1897-CDMA-GSM/223662333237?_trkparms=ispr%3D1&hash=item3413505d35:g:E88AAOSwBbBdStXx&enc=AQAEAAAB0BPxNw%2BVj6nta7CKEs3N0qX3VkDDvk3kldTeljxV2XuRzfmKJawKO18nYdxVKW%2FNhjDGISn4T8SYmoiA8mu%2B3ksN5GIybiVNIQ9eVG4fvsJBK5CXXad79Gr8pbF8cdCCFV1MIs7wyvZiFOHLR7pKn5vso4cTwF92%2Bf6ocCbkFA7CxFe%2Fu0HgE%2FxqbCGD6NzE0A8Ffg0ytsFehS5mH1G%2BayC98wpk1usgVa6MTH09gbi9aZT9OgsyNaFR9Pag0%2FZYaRGjk%2BZ9n4ytbzfZMPMcQbcryxGFbw2k7PREuK7TUhXimIh1zTF%2FML7eGzml5ORol1pw1b%2FDsBmhXjeXv%2FZH1PJhEgrcd7KSmhDzI7l5SQWzCqxpfYsAAf7oLaFGIuCyu0nmOAVgqIcK%2FPNFZTak43nEdR5wWdkKpAylbMnTE9IWWdDFJlzYSDnK2H%2Bk1vlX%2FRchkdrVfjUmM5hTScuRyD9oxWokK1BWWC7pmJuJYRDhs9G8IzGYAYprgi5VMy32VxieegQOQL3ThMaLUcfmO2HJiDVplp9b%2B5SRZmegK0q0xVFaz3zd3VEC36FSm4HJqP8x66DxrgAtIdrV54Fb7Jth6CC9kuXmHwZ0u2bRSNGs&checksum=223662333237e69ca385638d429cb9c987e7ca69b382
Apple iPhone 6s - 16GB - Silver (Sprint) A1688,$109.99,US,,https://www.ebay.com/itm/Apple-iPhone-6s-16GB-Silver-Sprint-A1688/283612793982?epid=216213577&hash=item4208a3cc7e:g:Ag4AAOSwMspdetNm
Apple iPhone 8 Black 64 GB EXCELLENT Condition Tmobile,$275.00,US,,https://www.ebay.com/itm/Apple-iPhone-8-Black-64-GB-EXCELLENT-Condition-Tmobile/202777631152?hash=item2f367d19b0:g:8e0AAOSwIihdeuGl
Apple iPhone X - 256GB - Space Gray (Verizon) A1865 (CDMA + GSM),$599.00,US,,https://www.ebay.com/itm/Apple-iPhone-X-256GB-Space-Gray-Verizon-A1865-CDMA-GSM/254358068062?epid=239068454&hash=item3b38ec1b5e:g:kPMAAOSwN9tdetER
Apple iPhone 6s Plus - 32GB - Space Gray (AT&T / Cricket) Excellent!,$159.99,US,,https://www.ebay.com/itm/Apple-iPhone-6s-Plus-32GB-Space-Gray-AT-T-Cricket-Excellent/183951074245?epid=228580446&hash=item2ad456a3c5:g:T80AAOSwDw5debmz
Apple iPhone 7 Plus | 128GB | Black | Sprint | Unlocked,$149.00,US,,https://www.ebay.com/itm/Apple-iPhone-7-Plus-128GB-Black-Sprint-Unlocked/233339821156?hash=item3654231c64:g:wdwAAOSweAtdeopl
Apple iPhone 6S 32GB 64GB 128GB Factory Unlocked AT&T T-mobile Verizon,$112.99,US,"2,111",https://www.ebay.com/itm/Apple-iPhone-6S-32GB-64GB-128GB-Factory-Unlocked-AT-T-T-mobile-Verizon/202444888698?epid=216202209&hash=item2f22a7da7a:m:mvLRPOl-L_q4zipmGQnSapg
Apple iPhone 6s | GSM Factory Unlocked | 16GB 32GB 64GB 128GB | Excellent 9/10,$129.99,US,,https://www.ebay.com/itm/Apple-iPhone-6s-GSM-Factory-Unlocked-16GB-32GB-64GB-128GB-Excellent-9-10/312755012018?epid=216202299&hash=item48d1a6c1b2:m:mRGQXSQH3PhCDtZ62S2G4fg
Apple iPhone 6 Plus Smartphone No Touch ID Verizon Unlocked AT&T T-Mobile Sprint,$115.00,US,"1,425",https://www.ebay.com/itm/Apple-iPhone-6-Plus-Smartphone-No-Touch-ID-Verizon-Unlocked-AT-T-T-Mobile-Sprint/292369854462?epid=240420080&hash=item441299effe:m:mx9Kia_X4ytSqYlMCOfynxQ
Apple iPhone 6s PLUS 16gb 32gb 64gb 128gb unlocked Australian stock,$320.00,AU,,https://www.ebay.com/itm/Apple-iPhone-6s-PLUS-16gb-32gb-64gb-128gb-unlocked-Australian-stock/163623842843?hash=item2618bdb41b:m:mWkwJj6ZS1ogpEpGJsbWbng
Apple iPhone 6S 16GB 32GB 64GB 128GB Factory Unlocked AT&T T-mobile Verizon,$114.89,US,"1,495",https://www.ebay.com/itm/Apple-iPhone-6S-16GB-32GB-64GB-128GB-Factory-Unlocked-AT-T-T-mobile-Verizon/223141689820?epid=228434691&hash=item33f447f9dc:m:mog4DAR-0nAnZvfRu4HsWaA
Apple iPhone 6s Plus - 32GB - Space Gray (Unlocked) A1634 (CDMA + GSM),$160.00,US,,https://www.ebay.com/itm/Apple-iPhone-6s-Plus-32GB-Space-Gray-Unlocked-A1634-CDMA-GSM/183951766994?epid=228517002&hash=item2ad46135d2:g:UrUAAOSwT4Rdej7v
Apple iPhone XR - 128GB - Black (AT&T) A1984 (CDMA + GSM),$480.00,US,,https://www.ebay.com/itm/Apple-iPhone-XR-128GB-Black-AT-T-A1984-CDMA-GSM/163859506665?epid=20023710029&hash=item2626c9a5e9:g:cw0AAOSwbeBdVWBs
Apple iPhone 8 Plus - 64GB - Gold (AT&T) A1897 (GSM) IC LOCK,$126.00,US,,https://www.ebay.com/itm/Apple-iPhone-8-Plus-64GB-Gold-AT-T-A1897-GSM-IC-LOCK/323912807218?hash=item4b6ab53332:g:UngAAOSwxXRbYGHF
New in Box Apple iPhone 6 64GB 128GB GSM Unlocked Space Gray / Silver / Gold,$189.99,US,362,https://www.ebay.com/itm/New-in-Box-Apple-iPhone-6-64GB-128GB-GSM-Unlocked-Space-Gray-Silver-Gold/202695013801?_trkparms=ispr%3D1&hash=item2f319075a9:m:mSfVwbMT9SM01QfWjciQUFQ&enc=AQAEAAAB0BPxNw%2BVj6nta7CKEs3N0qUYVk8pRG9zkaAaMbMdJ68cBCVa7xg5NtbcDY7sJLur1NXs3zOunEgcQyE5r3YeiPJHhmlCTezlxhHP3KTnDQhx3qjqZEyFbyP2%2FhQhSPoq%2FPUQM3sJf8AhBF742Lw9yAiXlaLAuGW%2FWvGrEyzS0ZnEMRMplgipPDnzCluArLks9kPVmsfSyb%2BqMHXLF8b%2FE6eRMQSvCS8JP4LS2GVepQHerWZrEpzY9oWWvDIZTYNVlK5IJKBeQVb3%2B3C5oOPGx0cokq6QHBpebkku0VxrPg5lcf1vFR1h3uGS%2FvjdubkCffpsErNZT619xNl3mnTQMegU6HfbPzSTv%2BhNyITJ1kD7684N29VCFUvVV4Rj54khccWyVZUREEULXRGr%2F2n5TTJC3stu2eWDvhd1T7VGC7uun4IKBEIoPBwqRBXTfJtmhaye2mJ%2Ba%2BJpVBq8jbXopzACusbBHnYWPsH19%2Be7huCBq4Aa9FJmCKCO0DnxSCFkQ7qfqkyaeNrWJrCEBNKugOgwJYbbsPuZWzDxDJ4hEADVvJXY3hRCiG4jQGujPP9JuwaZ3BD5oLpceLKHtibm2IY2Er49Fvp6D80gw6opjFBA&checksum=202695013801e69ca385638d429cb9c987e7ca69b382
Apple iPhone 7 32GB/128GB Jet Black/Rose Gold/Silver/Black/Gold/Red AUS Seller,$319.00,AU,82,https://www.ebay.com/itm/Apple-iPhone-7-32GB-128GB-Jet-Black-Rose-Gold-Silver-Black-Gold-Red-AUS-Seller/173513262330?_trkparms=ispr%3D1&hash=item28663244fa:m:mMiPYZyJ66PTpfzkY9JUB2g&enc=AQAEAAAB0BPxNw%2BVj6nta7CKEs3N0qVw1UMSWUYMfJCejIBWPqm%2FPeIIC0cW5IIUy6YY4WuiI5RWgieakg8QDwCHxoY4dizo0dhAF0lngrMDqyAZzUl0bxfSbN4W%2B6NFzy9IS%2FjMg56TpJjIUVeb0bwhKb2ISgBdbY%2B3aLwg3PlpmnCc9iuPmloLDGr9hwaU4ypHgi3EAHgKk1oGsTzG%2B%2BOncywGeQboxkkPe1q43WswSu7AiHrNsydMj6iDmJ8e2X27uIaadoDXxNHJI4vDpFagNAMHTBFv4b9xBxcsLjPSqehIRh%2BOV%2FvfL6aMztsLhpFnoDQSEVRqNfUyqdInFxXOyzArpl%2Fy0PeAn%2Buo1P%2Bs%2BBNJKfrrbJqfs7gvEHq5IFUfBWRuT%2F%2Fk0UgVxjcZK0sjZk5YO8%2BOhXZsP%2B%2Fx5%2BBZiIO1BB5RCB10hIWVMFJCoVvqiZERQAp8Q8XYS%2BFm6mzWCTMh%2B3UePNm3DhEiIsvtD%2FjLN06yoWhmrFLEtPTp6rY3df333WwF3YEgcupbLnHTaqpSyEDLca5fGkhzpUi2hApxNjodhJY6deTx4D6VDtr2lCP%2Fs1Mp%2BMbtNf%2B57fjfa7DXg0GRGrlMt9yq6iVSmFer%2F9Hq&checksum=173513262330e69ca385638d429cb9c987e7ca69b382
Apple iPhone 8 - 64GB A1863 GSM Factory Unlocked Smartphone,$305.00,US,,https://www.ebay.com/itm/Apple-iPhone-8-64GB-A1863-GSM-Factory-Unlocked-Smartphone/303282885163?hash=item469d11922b:g:F18AAOSw7KldeoK6
"Apple iPhone 6S - 16GB 64GB 128GB - Gray, Rose, Gold, Silver - Factory Unlocked",$115.99,US,"13,615",https://www.ebay.com/itm/Apple-iPhone-6S-16GB-64GB-128GB-Gray-Rose-Gold-Silver-Factory-Unlocked/122419664747?epid=216202209&hash=item1c80c7d76b:m:m1XjQJXLGtwTg5TJvzGxkcw
Apple iPhone 8 Plus 256GB Gold AT&T GSM Phone A1897 MQ8Y2LLA CLEAN IMEI MINT,$429.99,US,,https://www.ebay.com/itm/Apple-iPhone-8-Plus-256GB-Gold-AT-T-GSM-Phone-A1897-MQ8Y2LLA-CLEAN-IMEI-MINT/303282848524?epid=239068314&hash=item469d11030c:g:7OwAAOSw8YtdenaY
